Sentence,Sentiment
@Kaan_Terzioglu @DogusKuran Turkcell yaptığı zaman en iyisini yapar. ??????,olumlu
ve bitti turkcell kazandı...,olumlu
Hayat paylaşınca güzel: iPhone 5'İn Turkcell’e Geliş Tarihi Belli Oldu http://sosyalmedyaport.com/  by @zzma1 via #sosyalmedyaport,notr
"vodafone'lu olmak pişmanlıktır. doğru dürüst çekmiyor maalesef. turkcell olsun üç kuruş fazla olsun, her yerde full.",olumlu
Turkcell dunyada gordugum en rezil kurumsunuz!,olumsuz
aveanin gözünü sevim ya. vodafon muş turkcell mış beş para etmez. eski hattimi kullanmaya devam.,olumsuz
@harunkaranfilci Turkcell+THY+Tupraş=21 milyar dolar whatsapp 55 personel ile 22 Milyar dolar.,notr
14 Şubattan tek beklentim: Turkcell'in yine 14 saatliğine 14GB vermesi  )). #14Şubat,olumlu
#GoIBM #Datacap Turkcell Global Bilgi  via @YouTube,notr
"@Hormonlu_Editor servis sağlayıcısına bağlı sanırım,uydunetten hala girilemiyor,ttnet hakkında şikayet yazanlar da gördüm,turkcell açtı..v.s",olumlu
"4 senelik vodafone kullanIcIsI olarak turkcell mUSteri hizmetlerini aradIm, vodafone da bOyle samimiyet gOrmedim. turkcell'e geCeceGim :)# turkcell de yeni 4.5g li internet+ses+sms paketlerde 2 kat internet var. 3 gb internetli paket aldIm + 3 gb daha geldi sUpermiS :)",olumlu
turkcell binasında avea'nın çekmemesi,olumsuz
terbiyesizherif anasayfada ben de ayni hatayi aliyorum. (turkcell ve ttnet). ama aramalarda sorun yok. garip.,notr
bu işe turkcell bağıyo temalı reklam iticiliği hicbir şeyde yok,olumsuz
kumlucada her metrekareye bir turkcell bayisi dUSUyor...,notr
artIk numaramIzI alIp mesaj atacaklar diye turkcell iletiSim merkezinden fatura da mI Odeyemiycez?... |12,olumsuz
"Hayallerim var benim,kagittan gemilerim.Ben nasil istersem oyle katlar,bukerim. Turkcell reklam jenerigi model icin basari vakti.",olumlu
Turkcell pişmanlıktır Superonline daha büyük pişmanlık...,olumsuz
"habersiz bir şekilde mesajlarımı bitirdiğin için sana teşekkür ettim turkcell,bir haber verseydin iyiydi",olumlu
Turkcell bekle ceker'e devam. Ankara-Çankaya-Ayranci'da youtube açamıyorsun http://t.co/sotXWrbq,olumsuz
Turkcell elektrik ticari yapmak için Enerji ticareti şirketi kuruyor -,notr
"Turkcell, 4g İle Türkiye Hız Rekoru Kırdı http://rojname.com/?q=1080171   #Zaphaber kurdistan_news",notr
Doğadan'ın yayından kaldırılan reklamı;Turkcell'in soykırımdan bahsetmeyen özürü;şimdi de Siemens'in kamuoyu açıklaması:Houston bi sorun var,olumsuz
"En nihayetinde hepimiz vodafone'a gecmeyi dusunmus, ama herkes turkcelli diye turkcell de kalmis insanlariz",notr
#goodmornig (@ TURKCELL CEPTAŞ  DAĞITIM MERKEZİ TRABZON in Trabzon),notr
Turkcell'den gelen mesajlar = Twitter'da gelen takipçi arttırma mesajları,notr
turkcell'li olmanIn en gUzel yanI; canIn her sIkIldIGInda gencaver'e mesaj atIp yeni kampanyalar hakkInda bilgi alabilmek..,olumlu
sevgililer gUnU benm icin cok onemlidr .turkcell in bedava hediye kampanyalari sagolsun,olumlu
