Sentence,Sentiment
hayýr yaaa turkcell gayet :(,2
corlu merkez hastane caddesi 3g yok. Turkcell cekim gücü sadece reklamlarda var,2
turkcell,3
"""  Hocam; bugun  memnuniyetsiz bir musteriyim diye tepiniyorum, kimse orali degil.""Turkcell niye uzuyon!",2
"Önce kýz takýmýmýz KPMG'yi 3-0 sonra da biz Unilever'i 3-1'le geçtik, süper bir gün oldu! #turkcellvoleybol #goturkcell #turkcell :))",1
turkcell gbý 4 cekemem cýcýss :D,3
"O ses Turkcell geri sayim basladi, elemelerde son 5:) sira geliyor:)",1
turkcell sasmis lan 30 tlye internet paketi mi olur,2
"Nerden alacaðýný bilmem ama Turkcell'den kesinlikle alma.Adamlar ipad,iphone,blackberry gibi ürünlerde heryerden en az 200 tl fazla",2
Bu gece saat 00.00 itibaryle turkcell'den ayrýlýyorum.,2
iPhone 4S satýþ fiyatlarý belli oldu..  via,3
Beným derdým Turkcell ýle degýl kvk ýle!!,3
cok kizdimm cokkkk,2
degerli trcell ne yýlbaþýnda ne dogum günümde yoksun kopasým var senden adresimiz var bi hediye seni fakir mi eder,3
#turkcell  keþke cepten internet seçenekleriniz arasýnda 500MB opsiyonuda olsa...,3
Ohaaa o faturaa ne turkcell soymaya mý karar verdýn bizi !!!,2
sen yine turkcell e mi döndün kanki ?,1
"#3kelimeyle2011 basarý, performans, keyif...",1
cok pahalisiniz.. az dakikali bol internetli uygun fiyatli paket istiyoruz! Mesela 1GB internet+200dk 40TL gibi,2
#gercektenbiktim avea türkcell vodefone reklamlarýn dan tiskindimm haaa,2
evet yeniden pin alacaðým sýrf bbm için :D turkcell hat alacaðým :),1
"IDATE raporundan ""Turkcell Superonline 2011'de sunmaya baþladýðý 1000Mbs hýzýnda fiber internetle Avrupa'da sayýlý operatör arasýna girdi""",1
Ne o Turkcell faturan geldi galiba...Hayat paralarý Turkcell'le paylaþýnca daha bir güzel.Ama kimin için?Biz mi Turkcell'mi?,2
Dönemin türkcell reklam müzigi,3
Bugun 532 yani turkcell musteri hizmetlerinin beni 5. Aramasi bilgisayar takildi kaldi sanirim otomatige bagladi imdatt,2
adam düzenli olarak Turkcell iletiþim merkezine ve keyfinin mekanýna gidiyor...,1
Evet lan :D  ama abi türksel cok kazýk,2
Kendimi hiç bu kdar yalnýz hissetmemiþtim ne reyhan ne turkcell mesaj attý 12 saat içinde,2
"Sabah,ögle, akþam demeden yemeden icmeden bana mesaj atan TURKCELL düþ yakamdan artýk!",2
Bugün hiç mesaj atmadýn ? Hayýrdýr küs müyüz ? Yoka rahatsýz mýsýn ?,2
